Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Iran,49.0,44.4,46.1,45.6,48.4,52.3,54.6,59.0,54.3,60.5,62.6,67.3,68.3,70.1,74.3,76.7,80.6,87.0,87.7,95.5,99.5,107.1,112.2,114.1,115.2,115.7,119.3,119.1,121.5,124.1,120.8,124.4,127.2,129.8,135.5,139.3,137.6,137.3
Iraq,32.7,36.8,42.2,47.8,52.8,48.5,30.3,46.6,59.0,63.7,61.3,59.4,68.2,49.6,34.7,47.2,51.0,47.0,40.4,42.1,38.7,37.3,38.0,42.6,40.4,43.8,43.5,45.4,48.1,46.2,44.8,49.5,54.3,53.6,55.5,46.8,47.8,51.8
Israel,59.8,61.3,63.6,65.8,66.7,96.8,95.6,108.6,114.9,116.9,128.3,129.8,138.7,142.8,144.9,133.8,131.1,131.3,132.8,132.9,131.3,129.7,132.2,133.7,127.7,130.4,130.5,134.2,124.8,119.6,123.9,124.1,124.3,124.2,126.3,117.3,117.3,121.1
Kuwait,229.8,252.5,224.1,243.5,252.6,196.6,124.0,181.4,218.1,256.5,327.4,315.0,316.9,377.9,380.2,394.3,387.4,398.8,464.4,506.3,538.0,489.2,448.0,458.3,449.9,480.6,462.1,440.0,419.2,413.3,413.3,394.2,393.5,385.0,340.6,328.1,353.0,374.0
Oman,87.5,88.4,86.8,84.2,83.5,92.9,115.5,109.3,101.0,91.9,105.8,106.7,108.2,109.2,122.4,170.3,186.7,199.2,204.3,186.9,221.9,239.4,238.4,272.7,265.8,296.0,291.5,288.5,299.5,283.6,289.2,276.5,280.1,294.0,291.9,284.5,313.8,326.7
Qatar,650.5,678.6,632.8,642.4,655.6,642.6,716.2,1102.1,1142.8,1125.5,1090.1,781.5,819.7,836.4,882.0,747.9,684.0,716.9,783.6,911.0,945.3,830.9,746.2,705.6,641.7,701.4,779.0,836.3,850.3,844.3,883.0,803.7,744.8,729.3,748.9,662.7,717.9,699.2
Saudi Arabia,203.8,209.5,212.5,212.9,200.8,208.8,210.2,204.5,202.3,227.3,215.4,216.7,214.9,220.3,218.5,223.0,231.8,235.7,244.0,259.0,267.2,269.5,265.1,279.3,278.7,300.0,305.3,317.0,312.3,328.5,336.0,342.6,335.0,318.9,298.8,289.1,299.2,315.7
United Arab Emirates,526.2,599.0,623.8,645.5,683.4,653.5,754.3,691.8,685.7,718.3,717.2,699.2,683.6,658.2,625.7,588.9,564.4,586.2,595.8,608.6,592.5,544.7,501.7,483.4,416.9,412.8,428.6,446.3,466.2,460.7,496.4,511.6,488.2,478.0,485.6,453.9,503.4,534.9
Other Middle East,34.9,34.2,34.4,34.4,33.8,32.6,33.5,33.7,33.6,34.1,34.5,34.5,35.7,37.9,37.5,36.9,37.0,37.4,38.0,38.3,41.0,40.6,39.7,40.4,39.8,39.0,36.0,33.6,32.1,31.3,28.7,27.8,28.5,27.4,26.8,25.0,25.5,25.9
Algeria,42.7,43.7,43.5,45.4,43.0,44.4,43.0,43.1,39.2,38.9,39.6,38.5,36.4,37.1,36.9,35.1,35.9,36.6,37.8,38.7,40.0,40.8,42.3,44.1,45.9,44.1,45.8,49.0,50.9,54.4,56.2,55.1,54.6,57.5,58.5,53.8,57.3,54.9
Egypt,23.7,23.5,24.3,24.0,24.6,24.6,24.3,23.6,23.0,23.7,24.6,25.3,25.8,26.3,27.6,28.7,29.3,29.5,30.6,31.7,31.8,32.9,34.4,35.7,36.3,36.9,37.9,38.5,37.3,36.0,35.8,37.0,37.7,37.0,35.7,33.0,34.7,35.9
Morocco,10.5,10.7,10.8,11.2,12.1,12.1,12.1,13.3,13.2,14.4,13.9,14.3,14.6,14.8,15.1,14.8,15.8,16.0,15.8,17.8,19.1,19.2,18.8,20.5,19.7,21.6,22.4,22.5,22.8,22.8,22.9,22.9,23.7,24.2,26.2,23.6,26.1,24.7
South Africa,97.5,96.2,94.3,100.3,92.7,93.0,90.0,88.5,86.8,89.0,91.5,91.9,92.7,89.9,91.9,91.2,90.8,87.7,94.1,101.8,95.4,96.5,98.1,103.9,102.2,101.7,99.2,96.4,95.5,95.1,91.3,94.5,93.7,89.1,91.8,84.8,84.2,80.5
Eastern Africa,3.7,3.7,3.6,3.8,3.7,4.0,3.7,3.6,3.8,3.7,3.6,3.5,3.6,3.7,3.7,3.6,3.8,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.0,4.2,4.3,4.3,4.6,4.9,5.0,4.8,4.9,5.0,4.9,4.6,4.9,4.9
Middle Africa,4.9,4.7,4.7,4.8,4.9,4.4,4.0,4.0,3.9,3.6,3.6,3.5,3.4,3.2,3.2,3.5,3.4,3.5,3.7,4.3,4.1,4.4,4.4,4.7,4.8,5.1,5.2,5.5,6.0,6.1,5.9,5.7,5.4,5.5,5.4,5.1,5.1,4.8
Western Africa,4.9,4.7,4.8,5.0,5.1,4.8,5.0,5.3,5.2,5.0,5.0,5.3,5.1,5.1,5.0,5.2,5.5,5.8,5.6,5.6,5.7,5.0,5.2,5.4,4.9,5.1,5.4,5.5,5.4,5.4,6.0,6.0,6.3,6.8,7.0,6.8,7.1,7.1
Other Northern Africa,49.3,49.1,52.9,52.4,55.1,52.5,51.0,49.6,51.5,55.2,57.2,57.6,59.0,60.6,59.1,62.8,63.2,61.7,62.9,67.0,67.3,67.1,64.5,66.0,69.4,70.6,51.3,61.9,65.6,63.7,62.4,63.3,61.8,61.6,59.8,53.9,65.9,67.0
Other Southern Africa,8.7,8.9,8.9,9.3,9.7,16.9,16.8,17.6,17.2,17.2,18.4,17.0,17.4,19.0,20.2,20.3,20.4,20.1,20.0,19.9,21.3,20.7,21.2,21.8,22.3,20.1,22.4,24.4,24.0,25.7,25.4,24.5,25.7,25.9,24.4,21.8,23.2,24.6
Australia,200.1,201.2,204.0,209.9,216.9,218.1,213.7,214.9,217.3,223.5,230.8,234.9,238.0,241.2,248.4,247.1,246.0,248.0,248.7,253.8,251.7,258.7,260.3,259.5,250.9,246.7,251.0,243.3,242.3,240.3,242.0,239.1,234.5,234.3,238.5,222.6,221.2,228.5
Bangladesh,1.8,1.9,2.1,2.3,2.4,2.5,2.3,2.5,2.7,2.8,3.3,3.4,3.5,3.6,3.6,3.8,4.3,4.2,4.3,4.5,4.8,5.2,5.2,5.5,6.0,6.1,6.5,7.0,7.2,7.3,8.8,8.7,9.0,9.5,10.5,9.8,10.2,10.5
China,20.9,21.5,22.8,24.1,24.9,24.8,25.6,26.7,28.5,30.0,30.6,32.0,31.9,31.8,32.6,33.6,35.3,38.2,44.2,51.4,58.0,63.2,68.2,70.4,73.0,77.6,83.1,85.9,88.6,90.3,90.8,90.6,93.6,97.6,101.8,104.9,110.8,111.8
China Hong Kong SAR,67.0,69.2,74.9,84.9,89.4,85.9,87.8,101.8,109.7,98.1,104.2,102.6,102.1,102.4,102.2,105.6,132.0,128.0,131.4,146.5,140.2,147.8,156.3,144.4,156.7,162.1,165.2,157.5,160.4,155.3,158.8,162.2,173.4,175.0,165.6,123.9,116.9,104.9
India,7.3,7.7,8.0,8.5,9.1,9.5,9.8,10.1,10.2,10.5,11.1,11.3,11.7,12.2,12.3,12.7,12.5,12.7,12.9,13.8,14.4,14.9,15.9,16.6,17.6,18.1,18.9,19.6,20.0,21.1,21.6,22.3,22.8,23.9,24.2,22.7,24.5,25.7
Indonesia,8.9,9.3,9.7,10.0,10.9,11.8,12.6,13.6,14.3,14.7,15.7,16.6,17.7,17.2,18.5,19.5,20.6,20.8,22.4,21.9,22.3,22.4,23.7,23.6,24.0,25.6,26.7,27.3,26.0,26.0,26.2,26.0,26.6,28.9,30.5,28.0,28.3,35.5
Japan,133.2,132.7,134.8,142.7,147.1,151.9,154.8,156.0,157.9,163.4,171.3,174.2,177.1,173.2,175.7,177.2,175.2,175.1,174.2,176.0,176.4,175.9,173.9,170.7,155.7,166.0,157.4,156.3,155.4,151.7,149.8,148.2,150.4,150.1,147.1,136.9,144.0,143.9
Malaysia,41.0,43.7,43.7,44.6,48.4,49.5,60.3,66.2,64.7,66.8,71.1,77.3,87.3,81.8,85.2,95.9,95.7,98.3,103.9,109.7,116.0,114.6,119.6,121.4,115.2,117.0,117.1,126.0,129.8,129.1,129.2,133.9,133.8,134.4,136.2,129.6,136.4,142.5
New Zealand,170.1,182.5,183.6,190.2,193.6,197.6,196.7,194.1,197.7,205.9,210.6,210.5,207.9,206.0,206.5,214.4,210.5,214.5,204.2,207.0,199.3,198.3,195.7,194.4,192.0,194.8,194.0,194.1,193.8,199.9,197.8,196.6,197.1,192.3,191.7,170.6,165.3,161.8
Pakistan,8.1,8.3,9.0,9.2,9.4,9.5,9.8,10.0,10.8,10.8,11.1,11.5,10.8,11.2,11.4,11.3,11.2,11.3,12.1,13.1,13.3,13.8,14.3,14.1,14.0,13.7,13.4,12.2,13.2,13.4,13.9,15.0,15.7,15.9,15.8,15.5,16.9,15.3
Philippines,8.9,8.8,9.3,10.0,10.6,11.0,10.5,11.0,11.8,12.0,13.4,14.1,15.0,14.6,14.4,14.2,13.6,13.4,13.5,13.6,13.4,12.5,12.7,12.9,12.8,13.0,13.0,13.2,13.9,14.4,15.5,16.7,18.0,18.1,18.4,16.4,17.3,18.2
Singapore,190.2,215.7,221.6,250.5,279.3,325.3,321.1,333.0,352.2,390.6,395.1,386.9,395.2,389.7,376.0,393.4,437.4,415.6,386.9,429.3,444.8,474.2,490.5,504.2,523.3,539.1,547.1,538.1,533.9,535.3,559.7,584.1,593.3,588.7,571.2,555.3,551.9,529.5
